Type,Start Time (UTC),Start Time (local),End Time (UTC),End Time (local),Calories,Steps,Average Heart Rate
inactive,2016-04-01 20:09:00,2016-04-01 16:09:00,2016-04-01 20:34:00,2016-04-01 16:34:00,29.5,0,77
light_activity,2016-04-01 20:34:00,2016-04-01 16:34:00,2016-04-01 20:40:00,2016-04-01 16:40:00,14,68,100
inactive,2016-04-01 20:40:00,2016-04-01 16:40:00,2016-04-01 20:43:00,2016-04-01 16:43:00,5.6,0,97
light_activity,2016-04-01 20:43:00,2016-04-01 16:43:00,2016-04-01 20:49:00,2016-04-01 16:49:00,10.4,31,80
inactive,2016-04-01 20:49:00,2016-04-01 16:49:00,2016-04-01 21:02:00,2016-04-01 17:02:00,14,0,68
light_activity,2016-04-01 21:02:00,2016-04-01 17:02:00,2016-04-01 21:03:00,2016-04-01 17:03:00,1.1,7,74
inactive,2016-04-01 21:03:00,2016-04-01 17:03:00,2016-04-01 21:12:00,2016-04-01 17:12:00,11.3,0,76
light_activity,2016-04-01 21:12:00,2016-04-01 17:12:00,2016-04-01 21:13:00,2016-04-01 17:13:00,3.9,0,109
inactive,2016-04-01 21:13:00,2016-04-01 17:13:00,2016-04-01 21:30:00,2016-04-01 17:30:00,21,0,77
light_activity,2016-04-01 21:30:00,2016-04-01 17:30:00,2016-04-01 21:31:00,2016-04-01 17:31:00,3.2,0,109
inactive,2016-04-01 21:31:00,2016-04-01 17:31:00,2016-04-01 21:34:00,2016-04-01 17:34:00,4.6,0,90
light_activity,2016-04-01 21:34:00,2016-04-01 17:34:00,2016-04-01 21:38:00,2016-04-01 17:38:00,6.9,62,96
inactive,2016-04-01 21:38:00,2016-04-01 17:38:00,2016-04-01 21:41:00,2016-04-01 17:41:00,4.5,0,90
light_activity,2016-04-01 21:41:00,2016-04-01 17:41:00,2016-04-01 21:42:00,2016-04-01 17:42:00,4.8,0,112
inactive,2016-04-01 21:42:00,2016-04-01 17:42:00,2016-04-01 21:48:00,2016-04-01 17:48:00,8.3,0,82
light_activity,2016-04-01 21:48:00,2016-04-01 17:48:00,2016-04-01 22:03:00,2016-04-01 18:03:00,51.4,62,103
inactive,2016-04-01 22:03:00,2016-04-01 18:03:00,2016-04-01 22:10:00,2016-04-01 18:10:00,8.3,0,76
light_activity,2016-04-01 22:10:00,2016-04-01 18:10:00,2016-04-01 22:12:00,2016-04-01 18:12:00,5.2,7,101
inactive,2016-04-01 22:12:00,2016-04-01 18:12:00,2016-04-01 22:16:00,2016-04-01 18:16:00,6.3,0,93
light_activity,2016-04-01 22:16:00,2016-04-01 18:16:00,2016-04-01 22:39:00,2016-04-01 18:39:00,77.4,168,107
inactive,2016-04-01 22:39:00,2016-04-01 18:39:00,2016-04-01 22:43:00,2016-04-01 18:43:00,5.5,0,81
