Type,Start Time (UTC),Start Time (local),End Time (UTC),End Time (local),Calories,Steps,Average Heart Rate
light_activity,2016-02-01 22:31:00,2016-02-01 14:31:00,2016-02-01 22:32:00,2016-02-01 14:32:00,1.2,9,75
inactive,2016-02-01 22:32:00,2016-02-01 14:32:00,2016-02-01 22:38:00,2016-02-01 14:38:00,6.9,0,73
light_activity,2016-02-01 22:38:00,2016-02-01 14:38:00,2016-02-01 22:39:00,2016-02-01 14:39:00,1.2,14,69
inactive,2016-02-01 22:39:00,2016-02-01 14:39:00,2016-02-01 23:06:00,2016-02-01 15:06:00,31.5,0,72
light_activity,2016-02-01 23:06:00,2016-02-01 15:06:00,2016-02-01 23:21:00,2016-02-01 15:21:00,60.9,401,99
inactive,2016-02-01 23:21:00,2016-02-01 15:21:00,2016-02-01 23:24:00,2016-02-01 15:24:00,5,0,83
light_activity,2016-02-01 23:24:00,2016-02-01 15:24:00,2016-02-01 23:40:00,2016-02-01 15:40:00,51.4,19,93
inactive,2016-02-01 23:40:00,2016-02-01 15:40:00,2016-02-02 00:04:00,2016-02-01 16:04:00,25.9,0,59
light_activity,2016-02-02 00:04:00,2016-02-01 16:04:00,2016-02-02 00:05:00,2016-02-01 16:05:00,1,8,65
inactive,2016-02-02 00:05:00,2016-02-01 16:05:00,2016-02-02 00:36:00,2016-02-01 16:36:00,32.9,0,63
light_activity,2016-02-02 00:36:00,2016-02-01 16:36:00,2016-02-02 00:37:00,2016-02-01 16:37:00,1.1,23,67
inactive,2016-02-02 00:37:00,2016-02-01 16:37:00,2016-02-02 00:58:00,2016-02-01 16:58:00,22.6,0,68
light_activity,2016-02-02 00:58:00,2016-02-01 16:58:00,2016-02-02 01:01:00,2016-02-01 17:01:00,6.4,62,85
moderate_activity,2016-02-02 01:01:00,2016-02-01 17:01:00,2016-02-02 01:16:00,2016-02-01 17:16:00,87.2,426,109
inactive,2016-02-02 01:16:00,2016-02-01 17:16:00,2016-02-02 01:23:00,2016-02-01 17:23:00,10.2,0,78
light_activity,2016-02-02 01:23:00,2016-02-01 17:23:00,2016-02-02 01:25:00,2016-02-01 17:25:00,10.1,0,108
inactive,2016-02-02 01:25:00,2016-02-01 17:25:00,2016-02-02 01:30:00,2016-02-01 17:30:00,7.4,0,77
light_activity,2016-02-02 01:30:00,2016-02-01 17:30:00,2016-02-02 01:42:00,2016-02-01 17:42:00,34.3,20,89
inactive,2016-02-02 01:42:00,2016-02-01 17:42:00,2016-02-02 01:49:00,2016-02-01 17:49:00,9.5,0,76
light_activity,2016-02-02 01:49:00,2016-02-01 17:49:00,2016-02-02 01:52:00,2016-02-01 17:52:00,14.1,0,104
inactive,2016-02-02 01:52:00,2016-02-01 17:52:00,2016-02-02 01:55:00,2016-02-01 17:55:00,4.1,0,74
light_activity,2016-02-02 01:55:00,2016-02-01 17:55:00,2016-02-02 02:02:00,2016-02-01 18:02:00,34.2,50,107
inactive,2016-02-02 02:02:00,2016-02-01 18:02:00,2016-02-02 02:12:00,2016-02-01 18:12:00,14.3,0,80
light_activity,2016-02-02 02:12:00,2016-02-01 18:12:00,2016-02-02 02:19:00,2016-02-01 18:19:00,19.5,17,89
inactive,2016-02-02 02:19:00,2016-02-01 18:19:00,2016-02-02 02:27:00,2016-02-01 18:27:00,9.6,0,69
light_activity,2016-02-02 02:27:00,2016-02-01 18:27:00,2016-02-02 02:28:00,2016-02-01 18:28:00,3.4,0,96
inactive,2016-02-02 02:28:00,2016-02-01 18:28:00,2016-02-02 02:33:00,2016-02-01 18:33:00,6.8,0,72
light_activity,2016-02-02 02:33:00,2016-02-01 18:33:00,2016-02-02 02:34:00,2016-02-01 18:34:00,3.2,0,98
inactive,2016-02-02 02:34:00,2016-02-01 18:34:00,2016-02-02 02:40:00,2016-02-01 18:40:00,9.5,0,86
light_activity,2016-02-02 02:40:00,2016-02-01 18:40:00,2016-02-02 02:44:00,2016-02-01 18:44:00,22.4,0,109
inactive,2016-02-02 02:44:00,2016-02-01 18:44:00,2016-02-02 03:01:00,2016-02-01 19:01:00,19.8,0,64
light_activity,2016-02-02 03:01:00,2016-02-01 19:01:00,2016-02-02 03:15:00,2016-02-01 19:15:00,49.4,423,100
moderate_activity,2016-02-02 03:15:00,2016-02-01 19:15:00,2016-02-02 03:34:00,2016-02-01 19:34:00,122.1,169,114
light_activity,2016-02-02 03:34:00,2016-02-01 19:34:00,2016-02-02 03:36:00,2016-02-01 19:36:00,7.2,21,101
inactive,2016-02-02 03:36:00,2016-02-01 19:36:00,2016-02-02 03:41:00,2016-02-01 19:41:00,7.8,0,84
light_activity,2016-02-02 03:41:00,2016-02-01 19:41:00,2016-02-02 03:45:00,2016-02-01 19:45:00,8.4,82,88
inactive,2016-02-02 03:45:00,2016-02-01 19:45:00,2016-02-02 03:53:00,2016-02-01 19:53:00,14.3,0,89
light_activity,2016-02-02 03:53:00,2016-02-01 19:53:00,2016-02-02 04:11:00,2016-02-01 20:11:00,58,56,94
inactive,2016-02-02 04:11:00,2016-02-01 20:11:00,2016-02-02 04:58:00,2016-02-01 20:58:00,50.1,0,64
light_activity,2016-02-02 04:58:00,2016-02-01 20:58:00,2016-02-02 05:08:00,2016-02-01 21:08:00,23.3,67,90
inactive,2016-02-02 05:08:00,2016-02-01 21:08:00,2016-02-02 05:17:00,2016-02-01 21:17:00,10.7,0,75
light_activity,2016-02-02 05:17:00,2016-02-01 21:17:00,2016-02-02 05:26:00,2016-02-01 21:26:00,26,406,96
moderate_activity,2016-02-02 05:26:00,2016-02-01 21:26:00,2016-02-02 05:38:00,2016-02-01 21:38:00,63.7,1219,107
light_activity,2016-02-02 05:38:00,2016-02-01 21:38:00,2016-02-02 05:48:00,2016-02-01 21:48:00,32.8,434,98
inactive,2016-02-02 05:48:00,2016-02-01 21:48:00,2016-02-02 05:51:00,2016-02-01 21:51:00,4.9,0,83
light_activity,2016-02-02 05:51:00,2016-02-01 21:51:00,2016-02-02 05:52:00,2016-02-01 21:52:00,3.2,0,97
inactive,2016-02-02 05:52:00,2016-02-01 21:52:00,2016-02-02 06:14:00,2016-02-01 22:14:00,25,0,70
light_activity,2016-02-02 06:14:00,2016-02-01 22:14:00,2016-02-02 06:15:00,2016-02-01 22:15:00,1.5,25,74
inactive,2016-02-02 06:15:00,2016-02-01 22:15:00,2016-02-02 10:54:00,2016-02-02 02:54:00,297.4,0,69
light_activity,2016-02-02 10:54:00,2016-02-02 02:54:00,2016-02-02 10:59:00,2016-02-02 02:59:00,11.1,49,88
inactive,2016-02-02 10:59:00,2016-02-02 02:59:00,2016-02-02 11:05:00,2016-02-02 03:05:00,8.6,0,83
light_activity,2016-02-02 11:05:00,2016-02-02 03:05:00,2016-02-02 11:13:00,2016-02-02 03:13:00,32.2,77,101
inactive,2016-02-02 11:13:00,2016-02-02 03:13:00,2016-02-02 12:23:00,2016-02-02 04:23:00,81,0,72
light_activity,2016-02-02 12:23:00,2016-02-02 04:23:00,2016-02-02 12:24:00,2016-02-02 04:24:00,1.2,15,72
inactive,2016-02-02 12:24:00,2016-02-02 04:24:00,2016-02-02 13:20:00,2016-02-02 05:20:00,59.6,0,64
light_activity,2016-02-02 13:20:00,2016-02-02 05:20:00,2016-02-02 13:21:00,2016-02-02 05:21:00,1.1,8,71
inactive,2016-02-02 13:21:00,2016-02-02 05:21:00,2016-02-02 13:26:00,2016-02-02 05:26:00,5.2,0,66
light_activity,2016-02-02 13:26:00,2016-02-02 05:26:00,2016-02-02 13:48:00,2016-02-02 05:48:00,51.8,555,94
inactive,2016-02-02 13:48:00,2016-02-02 05:48:00,2016-02-02 14:01:00,2016-02-02 06:01:00,23.3,0,88
light_activity,2016-02-02 14:01:00,2016-02-02 06:01:00,2016-02-02 14:03:00,2016-02-02 06:03:00,2.9,6,85
off_wrist,2016-02-02 14:03:00,2016-02-02 06:03:00,2016-02-02 14:30:00,2016-02-02 06:30:00,28.2,0,
light_activity,2016-02-02 14:30:00,2016-02-02 06:30:00,2016-02-02 14:42:00,2016-02-02 06:42:00,48.2,313,107
inactive,2016-02-02 14:42:00,2016-02-02 06:42:00,2016-02-02 14:51:00,2016-02-02 06:51:00,10.8,0,75
light_activity,2016-02-02 14:51:00,2016-02-02 06:51:00,2016-02-02 14:55:00,2016-02-02 06:55:00,15.8,275,101
moderate_activity,2016-02-02 14:55:00,2016-02-02 06:55:00,2016-02-02 15:09:00,2016-02-02 07:09:00,76.3,276,115
light_activity,2016-02-02 15:09:00,2016-02-02 07:09:00,2016-02-02 15:23:00,2016-02-02 07:23:00,39.3,244,88
inactive,2016-02-02 15:23:00,2016-02-02 07:23:00,2016-02-02 15:30:00,2016-02-02 07:30:00,8.6,0,72
light_activity,2016-02-02 15:30:00,2016-02-02 07:30:00,2016-02-02 16:01:00,2016-02-02 08:01:00,142.4,1047,108
inactive,2016-02-02 16:01:00,2016-02-02 08:01:00,2016-02-02 16:05:00,2016-02-02 08:05:00,7.3,0,91
light_activity,2016-02-02 16:05:00,2016-02-02 08:05:00,2016-02-02 16:10:00,2016-02-02 08:10:00,30.7,0,114
inactive,2016-02-02 16:10:00,2016-02-02 08:10:00,2016-02-02 16:17:00,2016-02-02 08:17:00,11.5,0,87
light_activity,2016-02-02 16:17:00,2016-02-02 08:17:00,2016-02-02 16:18:00,2016-02-02 08:18:00,3.1,0,101
inactive,2016-02-02 16:18:00,2016-02-02 08:18:00,2016-02-02 16:27:00,2016-02-02 08:27:00,13.5,0,82
light_activity,2016-02-02 16:27:00,2016-02-02 08:27:00,2016-02-02 16:33:00,2016-02-02 08:33:00,26.2,0,107
inactive,2016-02-02 16:33:00,2016-02-02 08:33:00,2016-02-02 16:36:00,2016-02-02 08:36:00,3.6,0,77
light_activity,2016-02-02 16:36:00,2016-02-02 08:36:00,2016-02-02 16:37:00,2016-02-02 08:37:00,2.8,0,99
inactive,2016-02-02 16:37:00,2016-02-02 08:37:00,2016-02-02 16:41:00,2016-02-02 08:41:00,6.7,0,89
light_activity,2016-02-02 16:41:00,2016-02-02 08:41:00,2016-02-02 16:44:00,2016-02-02 08:44:00,5.4,14,79
inactive,2016-02-02 16:44:00,2016-02-02 08:44:00,2016-02-02 16:54:00,2016-02-02 08:54:00,13.2,0,79
light_activity,2016-02-02 16:54:00,2016-02-02 08:54:00,2016-02-02 16:56:00,2016-02-02 08:56:00,6.2,0,99
inactive,2016-02-02 16:56:00,2016-02-02 08:56:00,2016-02-02 17:01:00,2016-02-02 09:01:00,6.1,0,77
light_activity,2016-02-02 17:01:00,2016-02-02 09:01:00,2016-02-02 17:07:00,2016-02-02 09:07:00,26.5,295,105
inactive,2016-02-02 17:07:00,2016-02-02 09:07:00,2016-02-02 17:16:00,2016-02-02 09:16:00,10.5,0,68
light_activity,2016-02-02 17:16:00,2016-02-02 09:16:00,2016-02-02 17:17:00,2016-02-02 09:17:00,4.3,0,103
inactive,2016-02-02 17:17:00,2016-02-02 09:17:00,2016-02-02 17:31:00,2016-02-02 09:31:00,20.7,0,80
light_activity,2016-02-02 17:31:00,2016-02-02 09:31:00,2016-02-02 17:35:00,2016-02-02 09:35:00,19.5,185,109
inactive,2016-02-02 17:35:00,2016-02-02 09:35:00,2016-02-02 17:39:00,2016-02-02 09:39:00,6.1,0,84
light_activity,2016-02-02 17:39:00,2016-02-02 09:39:00,2016-02-02 17:58:00,2016-02-02 09:58:00,72.5,130,103
inactive,2016-02-02 17:58:00,2016-02-02 09:58:00,2016-02-02 18:03:00,2016-02-02 10:03:00,9.2,0,92
light_activity,2016-02-02 18:03:00,2016-02-02 10:03:00,2016-02-02 18:14:00,2016-02-02 10:14:00,52.6,132,106
moderate_activity,2016-02-02 18:14:00,2016-02-02 10:14:00,2016-02-02 18:26:00,2016-02-02 10:26:00,58.4,83,109
light_activity,2016-02-02 18:26:00,2016-02-02 10:26:00,2016-02-02 19:43:00,2016-02-02 11:43:00,331.1,586,105
inactive,2016-02-02 19:43:00,2016-02-02 11:43:00,2016-02-02 19:49:00,2016-02-02 11:49:00,10.7,0,89
light_activity,2016-02-02 19:49:00,2016-02-02 11:49:00,2016-02-02 19:52:00,2016-02-02 11:52:00,12.1,0,103
inactive,2016-02-02 19:52:00,2016-02-02 11:52:00,2016-02-02 19:58:00,2016-02-02 11:58:00,10.7,0,91
light_activity,2016-02-02 19:58:00,2016-02-02 11:58:00,2016-02-02 19:59:00,2016-02-02 11:59:00,1.5,44,84
inactive,2016-02-02 19:59:00,2016-02-02 11:59:00,2016-02-02 20:04:00,2016-02-02 12:04:00,6.3,0,78
light_activity,2016-02-02 20:04:00,2016-02-02 12:04:00,2016-02-02 20:07:00,2016-02-02 12:07:00,10.1,0,100
inactive,2016-02-02 20:07:00,2016-02-02 12:07:00,2016-02-02 20:11:00,2016-02-02 12:11:00,5.3,0,89
light_activity,2016-02-02 20:11:00,2016-02-02 12:11:00,2016-02-02 20:13:00,2016-02-02 12:13:00,9,0,107
inactive,2016-02-02 20:13:00,2016-02-02 12:13:00,2016-02-02 20:16:00,2016-02-02 12:16:00,4.6,0,83
moderate_activity,2016-02-02 20:16:00,2016-02-02 12:16:00,2016-02-02 20:29:00,2016-02-02 12:29:00,70.9,0,112
inactive,2016-02-02 20:29:00,2016-02-02 12:29:00,2016-02-02 20:43:00,2016-02-02 12:43:00,18.3,0,76
light_activity,2016-02-02 20:43:00,2016-02-02 12:43:00,2016-02-02 20:44:00,2016-02-02 12:44:00,6.6,0,112
inactive,2016-02-02 20:44:00,2016-02-02 12:44:00,2016-02-02 20:47:00,2016-02-02 12:47:00,5.5,0,93
light_activity,2016-02-02 20:47:00,2016-02-02 12:47:00,2016-02-02 20:59:00,2016-02-02 12:59:00,28.7,84,92
inactive,2016-02-02 20:59:00,2016-02-02 12:59:00,2016-02-02 21:02:00,2016-02-02 13:02:00,6.7,0,98
light_activity,2016-02-02 21:02:00,2016-02-02 13:02:00,2016-02-02 21:15:00,2016-02-02 13:15:00,40.5,29,96
moderate_activity,2016-02-02 21:15:00,2016-02-02 13:15:00,2016-02-02 21:30:00,2016-02-02 13:30:00,76.8,13,109
inactive,2016-02-02 21:30:00,2016-02-02 13:30:00,2016-02-02 21:34:00,2016-02-02 13:34:00,6.8,0,85
light_activity,2016-02-02 21:34:00,2016-02-02 13:34:00,2016-02-02 21:35:00,2016-02-02 13:35:00,3.1,0,102
inactive,2016-02-02 21:35:00,2016-02-02 13:35:00,2016-02-02 21:41:00,2016-02-02 13:41:00,8.9,0,83
light_activity,2016-02-02 21:41:00,2016-02-02 13:41:00,2016-02-02 21:43:00,2016-02-02 13:43:00,8.4,6,105
